no,word-talgalog,word meaning-english,scentence-tagalog,scentence-korean
504,kauna-unahang,very first,Siya ang kauna-unahang nanalo.,그는 최초의 우승자다.
505,kapwa,"fellow, neighbor, both",Mahalin mo ang iyong kapwa.,이웃을 사랑해라.
506,kapaligiran,environment,Malinis ang kapaligiran sa village.,마을 환경이 깨끗하다.
507,kamay,hand,Hugasan mo ang iyong kamay.,손을 씻어라.
508,kalusugan,health,Mahalaga ang kalusugan ng pamilya.,가족의 건강이 중요하다.
509,ikatlong,third,Ikatlong araw ngayon ng Linggo.,오늘은 일요일 사흘째다.
510,estasyon,station,Malaki ang estasyon ng tren.,기차역이 크다.
511,del,of the (Spanish loan),Del Rosario ang apelyido niya.,그의 성은 델로사리오다.
512,daang,"road, hundred (contextual)",Mahabang daan patungong bayan.,마을로 가는 길이 길다.
513,Records,records (documents),Nasa Records Office ang file.,파일은 기록 보관소에 있다.
514,Pambansang,national,Pambansang bayani si Rizal.,리잘은 국민 영웅이다.
515,Kilala,"known, famous",Kilala siya sa buong bansa.,그는 전국적으로 유명하다.
516,Kasama,"companion, included",Kasama ko siya sa biyahe.,그는 나와 함께 여행한다.
517,tunog,sound,Malakas ang tunog ng kampana.,종소리가 크다.
518,tren,train,Maaga dumating ang tren.,기차가 일찍 도착했다.
519,relasyon,relationship,Maganda ang relasyon nila.,그들의 관계는 좋다.
520,pisikal,physical,Pisikal na gawain tuwing umaga.,아침마다 하는 신체 활동이다.
521,nagsimulang,started (past/started to),Nagsimulang umulan kanina.,조금 전에 비가 시작했다.
522,milyon,million,Isang milyon ang nanood.,백만 명이 시청했다.
523,malalaking,big (plural),Malalaking bahay sa subdivision.,분양지에 큰 집들이 있다.
524,maaring,"can, possibly",Maaring umulan bukas.,내일 비가 올 수 있다.
525,lakas,"strength, power",Maraming lakas ang atleta.,선수는 힘이 많다.
526,kopya,copy,Isa lamang ang kopya ng dokumento.,문서 사본은 한 부뿐이다.
527,hangin,wind,Malakas ang hangin sa dagat.,바닷바람이 세차다.
528,halalan,election,Malapit na ang halalan sa Mayo.,5월에 곧 선거가 있다.
529,for,for (English loan),Para ito for you.,이건 너를 위한 거야.
530,diyos,god,Diyos ang pinagmumulan ng buhay.,신은 생명의 근원이다.
531,distrito,district,Malaki ang distrito ng Makati.,마카티 구는 크다.
532,a,a (English loan),May a letter para sa iyo.,당신을 위한 편지가 하나 있다.
533,Unibersidad,university,Nag-aral siya sa Unibersidad ng Pilipinas.,그는 필리핀 대학교에 다녔다.
534,Nasa,located in/on/at,Nasa loob kami ng classroom.,우리는 교실 안에 있다.
535,Mas,more,Mas mabuti ang bagong modelo.,새 모델이 더 낫다.
536,Maaaring,"can, might",Maaaring magbago ang isip niya.,그의 마음이 변할 수 있다.
537,Kristiyano,Christian,Kristiyano ang pamilya nila.,그들 가족은 기독교인이다.
538,Juan,Juan (male name),Si Juan ay masipag mag-aral.,후안은 공부를 열심히 한다.
539,Ibarra,Ibarra (surname),Ibarra ang pangalan ng bayani.,영웅의 이름은 이바라다.
540,College,college,Nagtapos siya sa College of Law.,그는 법과대학을 졸업했다.
541,Best,best (English loan),Siya ang Best Actor ngayon.,그는 올해 최고의 배우다.
542,Bago,"new, before",Bago pa ang sasakyan.,차는 새 것이다.
543,Amerikano,American (person),Amerikano ang guro namin.,우리 교사는 미국인이다.
544,sintomas,symptom,Ubo ang sintomas ng sipon.,기침은 감기의 증상이다.
545,single,single (English loan),Single pa rin siya.,그는 아직 싱글이라고.
546,serbisyo,service,Magaling ang serbisyo sa hotel.,호텔 서비스가 훌륭하다.
547,problema,problem,Malaki ang problema sa trapiko.,교통 문제가 심각하다.
548,pinakawalan,released,Pinakawalan ang bagong pelikula.,새 영화가 개봉됐다.
549,pinagmulan,origin,Saan ang pinagmulan ng balita?,뉴스의 출처는 어디인가?
550,pamamahala,"management, administration",Mabuti ang pamamahala ng gobyerno.,정부의 통치가 잘된다.
551,paano,how,Paano ka pumunta sa palengke?,시장에 어떻게 가나요?
552,negosyo,business,Malaki ang negosyo ng pamilya.,가족 사업이 크다.
553,militar,military,Malakas ang militar ng bansa.,그 나라 군대는 강력하다.
554,matagumpay,successful,Matagumpay ang proyekto nila.,그들의 프로젝트는 성공적이었다.
555,likas,"natural, innate",Likas sa kanya ang kabaitan.,그는 선량함이 타고났다.
556,kompanya,company,Malaki ang kompanya ng kapatid ko.,형의 회사는 크다.
557,karagdagan,additional,May karagdagang klase bukas.,내일은 추가 수업이 있다.
558,iyong,your,Nasa iyong mesa ang libro.,책이 너의 책상 위에 있다.
559,interes,interest,Mataas ang interes sa banko.,은행 이자가 높다.
560,humigit-kumulang,approximately,Humigit-kumulang isang daan ang dumalo.,약 백 명이 참석했다.
561,gobyerno,government,May bagong gobyerno ngayon.,지금은 새 정부가 들어섰다.
562,gabi,night,Maganda ang buwan sa gabi.,밤하늘의 달이 아름답다.
563,balat,skin,Makinis ang balat ng sanggol.,아기 피부가 매끄럽다.
564,Japan,Japan,Malapit ang Japan sa Korea.,일본은 한국과 가깝다.
565,yugto,"stage, phase",Iba’t ibang yugto ng buhay.,인생의 여러 단계가 있다.
566,termino,"term, period",Limang taon ang termino niya.,그의 임기는 5년이다.
567,relihiyon,religion,Iba ang relihiyon nila.,그들의 종교는 다르다.
568,proyekto,project,Matagumpay ang proyekto ng grupo.,그룹의 프로젝트가 성공적이다.
569,patungo,heading toward,Patungo kami sa Maynila.,우리는 마닐라로 향하고 있다.
570,pagkakaiba,difference,Malaki ang pagkakaiba ng presyo.,가격 차이가 크다.
571,nangangahulugang,"meaning, signifying",Nangangahulugang ito ay totoo.,이것은 사실임을 의미한다.
572,naganap,"happened, took place",Naganap ang kasal kahapon.,결혼식은 어제 열렸다.
573,mata,eye,Malinaw ang mata ng bata.,아이 눈이 맑다.
574,mahalaga,important,Mahalaga ang edukasyon.,교육은 중요하다.
575,klase,"class, type",Maganda ang klase ng guro.,선생님 수업이 좋다.
576,hugis,shape,Parihaba ang hugis ng mesa.,책상 모양은 직사각형이다.
577,gayon,"thus, so",Gayon pala ang nangyari.,그렇게 되었구나.
578,doon,there,Doon kami naghintay sa iyo.,우리는 거기서 너를 기다렸다.
579,beses,times (repetition),Dalawa ang beses na dumating siya.,그는 두 번 왔다.
580,bandang,"around, vicinity",Bandang alas-siyete darating siya.,그는 7시쯤 도착할 것이다.
581,alam,know,Alam ko ang sagot.,나는 답을 안다.
582,ako,I/me,Ako ay nag-aaral ng Korean.,나는 한국어를 공부한다.
583,Rizal,Rizal (national hero),Si Rizal ay isang bayani.,리잘은 영웅이다.
584,Karaniwang,"common, usual",Karaniwang umiinom sila ng tsaa.,그들은 보통 차를 마신다.
585,ukol,"about, concerning",Ito ay ukol sa kalikasan.,이것은 자연에 관한 것이다.
586,sumusunod,"following, next",Sumusunod na araw ay pista.,다음 날은 축제다.
587,simpleng,simple,Simpleng buhay ang ninanais ko.,나는 단순한 삶을 원한다.
588,sabihin,to say,Gusto kong sabihin ang totoo.,나는 진실을 말하고 싶다.
589,posibleng,possible,Posibleng manalo siya bukas.,그는 내일 이길 수 있다.
590,pagtaas,increase,Mabilis ang pagtaas ng presyo.,물가 상승이 빠르다.
591,pagganap,performance,Magaling ang pagganap ng aktor.,배우의 연기가 훌륭하다.
592,nayon,village,Payapa ang nayon sa umaga.,아침의 마을은 평화롭다.
593,naunang,"previous, earlier",Naunang klase ay alas-nuwebe.,이전 수업은 9시였다.
594,nagtapos,graduated,Nagtapos siya noong 2023.,그는 2023년에 졸업했다.
595,mamamayan,citizen,Bawat mamamayan may karapatan.,모든 시민은 권리가 있다.
596,malinaw,clear,Malinaw ang paliwanag ng guro.,선생님 설명이 명확하다.
597,maagang,early,Maagang dumating si Ana.,아나는 일찍 도착했다.
598,lalaking,"male, man",Matangkad na lalaking dumating.,키 큰 남자가 도착했다.
599,labis,"excessive, surplus",Labis na tuwa ang naramdaman ko.,나는 지나친 기쁨을 느꼈다.
600,kita,"income, earnings",Mataas ang kita ng negosyo.,사업 수입이 높다.
601,karanasan,experience,Maganda ang karanasan ko sa Korea.,내 한국 경험은 좋았다.
602,karagdagang,additional / extra,Nagbigay siya ng karagdagang pera sa akin.,그는 나에게 추가 돈을 주었습니다.
603,hilagang,northern,Nasa hilagang bahagi ng bansa ang Baguio.,바기오는 나라의 북부 지역에 있습니다.
604,hangganan,boundary / limit,Ang ilog ay siyang hangganan ng bayan.,강은 마을의 경계입니다.
605,gitna,middle / center,Nasa gitna ng silid ang mesa.,방 한가운데에 테이블이 있습니다.
606,galing,from / excellent,Galing siya sa Maynila.,그는 마닐라에서 왔습니다.
607,dugo,blood,Madaming dugo ang dumaloy sa sugat.,상처에서 피가 많이 흘렀습니다.
608,daigdig,world,Malaki ang daigdig na ating ginagalawan.,우리가 사는 세계는 넓습니다.
609,York,York (place name),Pumunta kami sa York noong bakasyon.,우리는 휴가 때 요크에 갔습니다.
610,Republika,republic,Ang Pilipinas ay isang republika.,필리핀은 공화국입니다.
611,Lungsod,city / town,Malaki ang lungsod ng Quezon.,퀘존 시는 큽니다.
612,Karamihan,majority / most,Karamihan sa kanila ay pumayag.,그들 대부분이 동의했습니다.
613,Kahit,even if / although,Kahit pagod siya ay tumulong pa rin.,피곤해도 그는 여전히 도왔습니다.
614,International,international,Sumali kami sa isang international na paligsahan.,우리는 국제 대회에 참가했습니다.
615,Emperador,emperor,Si Emperador Hirohito ay hari ng Japan.,히로히토 천황은 일본의 황제였습니다.
616,Dr,Dr. (title),Si Dr. Santos ay doktor ng bayan.,산토스 박사는 마을 의사입니다.
617,Bagong,new,Bumili ako ng bagong sapatos.,나는 새 신발을 샀습니다.
618,tanyag,famous / well-known,Tanyag na artista si Liza Soberano.,리자 소베라노는 유명한 배우입니다.
619,susunod,next,Susunod na linggo ang aming paglalakbay.,다음 주에 우리 여행이 있습니다.
620,sulat,letter / writing,Nagpadala siya ng sulat kay Ana.,그는 안나에게 편지를 보냈습니다.
621,sampung,ten,May sampung mansanas ang bata.,아이에게는 사과가 열 개 있습니다.
622,programang,program (adjective form),Isa itong programang pangkalusugan.,이것은 건강 프로그램입니다.
623,patakaran,policy / rule,Mahigpit ang patakaran ng paaralan.,학교 규정은 엄격합니다.
624,natapos,finished / completed,Natapos na niya ang proyekto.,그는 프로젝트를 완료했습니다.
625,nakikita,visible / can be seen,Madali siyang nakikita sa kalayuan.,멀리서도 그가 잘 보입니다.
626,malakas,strong,Malakas ang ulan ngayon.,지금 비가 세게 옵니다.
627,maikling,short,Maikling kuwento ito.,이것은 짧은 이야기입니다.
628,mahirap,poor / difficult,Mahirap ang buhay sa bundok.,산 속의 삶은 힘듭니다.
629,kasal,wedding / marriage,Bukas ang kasal nina Ana at Mark.,내일은 안나와 마크의 결혼식입니다.
630,kakayahan,ability / capability,May kakayahan siyang kumanta.,그는 노래할 수 있는 능력이 있습니다.
631,kaibigan,friend,Si Maria ay kaibigan ko.,마리아는 내 친구입니다.
632,kahabaan,length / extension,Ang kahabaan ng ilog ay sampung kilometro.,강의 길이는 10킬로미터입니다.
633,kabisera,capital,Ang Maynila ang kabisera ng Pilipinas.,마닐라는 필리핀의 수도입니다.
634,itaas,above / upper,Nasa itaas ang aking silid.,내 방은 위층에 있습니다.
635,hinggil,about / regarding,Hinggil ito sa bagong proyekto.,이것은 새 프로젝트에 관한 것입니다.
636,hanay,row / series,Nasa hanay ng mga estudyante si Ben.,벤은 학생들 줄에 있습니다.
637,halaman,plant,Maganda ang halaman sa hardin.,정원의 식물이 아름답습니다.
638,gumagawa,making / doing,Si Ana ay gumagawa ng proyekto.,안나는 프로젝트를 만들고 있습니다.
639,dagat,sea,Malaki ang dagat na nakikita ko.,내가 보는 바다는 넓습니다.
640,anyong,form / shape,Maganda ang anyong dagat mula sa eroplano.,비행기에서 본 바다의 모습이 아름답습니다.
641,TV,television,Nanonood kami ng TV sa gabi.,우리는 밤에 TV를 봅니다.
642,Roma,Rome (place name),Pumunta kami sa Roma noong Pasko.,우리는 크리스마스에 로마에 갔습니다.
643,Pransiya,France,Gusto kong pumunta sa Pransiya.,나는 프랑스에 가고 싶습니다.
644,2019,the year 2019,Naganap ito noong 2019.,이 일은 2019년에 일어났습니다.
645,1960,the year 1960,Ipinanganak siya noong 1960.,그는 1960년에 태어났습니다.
646,tuwing,every / whenever,Tuwing umaga siya ay naglalakad.,그는 매일 아침 산책합니다.
647,talaan,list / record,Nasa talaan ang pangalan mo.,당신의 이름이 명단에 있습니다.
648,tahanan,home / residence,Ito ang aking tahanan.,이것은 나의 집입니다.
649,solong,sole / only,Siya lang ang solong anak.,그녀는 외동딸입니다.
650,sikat,famous / popular,Si BTS ay sikat na grupo.,BTS는 유명한 그룹입니다.
651,seryeng,series (adjective form),Isa itong seryeng palabas.,이것은 시리즈 프로그램입니다.
652,produkto,product,Bago ang produkto sa merkado.,시장에 새 제품이 나왔습니다.
653,pinili,chosen / selected,Siya ang pinili ng guro.,그는 선생님이 선택한 사람입니다.
654,pares,pair / couple,May pares na sapatos siya.,그녀는 신발 한 켤레를 가지고 있습니다.
655,nauugnay,related / connected,Nauugnay ang usapin sa trabaho.,이 문제는 일과 관련이 있습니다.
656,namang,also / on the hand,Si John namang ay pumayag.,존 역시 동의했습니다.
657,nakaraang,previous / past,Nakaraang taon iyon.,작년 일입니다.
658,nakakuha,obtained / got,Nakakuha siya ng medalya.,그는 메달을 받았습니다.
659,matandang,old (person/thing),Si Lola ay matandang babae.,할머니는 연세가 드신 여성입니다.
660,maliliit,small (plural),Maliliit ang mga dahon.,잎사귀들이 작습니다.
661,malaki,big / large,Malaki ang bahay nila.,그들의 집은 큽니다.
662,lalong,even more,Lalong gumanda ang panahon.,날씨가 더 좋아졌습니다.
663,lalake,man / male,Isang lalake ang dumating.,남자 한 명이 도착했습니다.
664,kilometro,kilometer,Tatlong kilometro ang layo.,거리는 3킬로미터입니다.
665,kasunod,following / next,Siya ang kasunod na magsasalita.,그는 다음으로 말할 사람입니다.
666,ipinakita,showed / displayed,Ipinakita niya ang litrato.,그는 사진을 보여줬습니다.
667,impormasyon,information,Mahalaga ang impormasyon na ito.,이 정보는 중요합니다.
668,humantong,led to / resulted,Humantong ito sa kaguluhan.,이것은 혼란을 낳았습니다.
669,hilaga,north,Umakyat sila pa-hilaga.,그들은 북쪽으로 올라갔습니다.
670,ginagawa,being done / being made,Ano ang ginagawa mo?,당신은 무엇을 하고 있습니까?
671,disenyo,design,Maganda ang disenyo ng damit.,옷의 디자인이 아름답습니다.
672,ano,what,Ano ang pangalan mo?,너의 이름은 뭐니?
673,agham,science,Mahilig siya sa agham.,그는 과학을 좋아합니다.
674,Sila,they,Sila ay pupunta bukas.,그들은 내일 갈 예정입니다.
675,Katoliko,Catholic,Katoliko ang pamilya nila.,그들 가족은 가톨릭 신자입니다.
676,Awards,awards,Maraming awards ang napanalunan niya.,그는 많은 상을 받았습니다.
677,tulong,help / assistance,Kailangan ko ng tulong.,나는 도움이 필요합니다.
678,tula,poem,Maganda ang tula ni Rizal.,리잘의 시가 아름답습니다.
679,to,to (preposition),Pumunta kami to the mall.,우리는 쇼핑몰로 갔습니다.
680,tiyak,certain / sure,Tiyak akong darating siya.,나는 그가 올 것이라 확신합니다.
681,simbolo,symbol,Ang agila ay simbolo ng kalayaan.,독수리는 자유의 상징입니다.
682,sangay,branch / division,May sangay ang kumpanya sa Cebu.,회사는 세부에 지점이 있습니다.
683,samantalang,while / whereas,Samantalang siya ay kumakain,ako naman ay nagbabasa.
684,plano,plan,May plano kami para sa bakasyon.,우리는 휴가 계획이 있습니다.
685,paraang,method / way,Isang paraang mabilis ang ginamit niya.,그는 빠른 방법을 사용했습니다.
686,pangyayari,event / incident,Nakakalungkot ang pangyayari.,그 사건은 슬펐습니다.
687,pagsasanay,training / practice,Nagpapakahirap siya sa pagsasanay.,그는 훈련에 열심입니다.
688,pagkamatay,death,Malungkot ang kanyang pagkamatay.,그의 죽음은 슬펐습니다.
689,nga,indeed / really,Maganda nga ang palabas.,정말로 공연이 아름답습니다.
690,nawala,lost / disappeared,Nawala ang aking pitaka.,나의 지갑이 사라졌습니다.
691,nakatanggap,received,Nakatanggap siya ng regalo.,그는 선물을 받았습니다.
692,nais,want / desire,Nais kong matutong bumasa.,나는 글을 배우고 싶다.
693,naglabas,issued / released,Naglabas ng pahayag ang presidente.,대통령이 성명을 발표했습니다.
694,maliban,except / unless,Maliban kay John lahat ay dumating.,존을 제외하고 모두 도착했습니다.
695,mahusay,excellent / good,Mahusay siya sa pagsusulit.,그는 시험에서 훌륭했다.
696,kaya't,therefore / so,Mainit kaya't nag-ice cream kami.,더워서 우리는 아이스크림을 먹었다.
697,kalayaan,freedom / independence,Ipinagdiriwang namin ang kalayaan.,우리는 자유를 기념합니다.
698,kaharian,kingdom / realm,Ang kaharian ay mayaman.,왕국은 부유합니다.
699,kaganapan,event / fulfillment,Tagumpay ang kaganapan kahapon.,어제 행사는 성공적이었다.
700,kabataan,youth / young people,Ang kabataan ang pag-asa ng bayan.,청소년은 나라의 희망이다.
701,haba,length,Ang haba ng kalsada ay sampung kilometro.,도로의 길이는 10킬로미터입니다.
702,Britanya,Britain or the United Kingdom,Ang Britanya ay mayaman sa kasaysayan.,영국은 역사가 풍부합니다.
703,tradisyon,a belief or practice handed down within a group,Ang Pasko ay isang mahalagang tradisyon.,크리스마스는 중요한 전통입니다.
704,track,a path or course for movement,Sumunod siya sa track papunta sa bundok.,그는 산으로 가는 길을 따라갔습니다.
705,tirahan,a place where someone lives,Ang tirahan niya ay malapit sa ilog.,그의 집은 강 근처에 있습니다.
706,terminong,a specific word or term,Ang terminong ginamit ay mahirap intindihin.,사용된 용어는 이해하기 어려웠습니다.
707,sunod,following in order or sequence,Sunod sa pila nang maayos.,차례대로 줄을 서세요.
708,punto,a particular point or idea,Ang punto ng kanyang talumpati ay maliwanag.,그의 연설 요점은 분명했습니다.
709,presyo,the cost or price of something,Ang presyo ng bigas ay tumaas.,쌀 가격이 올랐습니다.
710,pinalitan,was replaced or substituted,Pinalitan niya ang sirang bumbilya.,그는 고장난 전구를 교체했습니다.
711,payak,simple or plain,Payak lamang ang kanyang pamumuhay.,그의 삶은 단순합니다.
712,panlipunan,relating to society or social issues,Mahalaga ang edukasyong panlipunan.,사회 교육은 중요합니다.
713,pandaigdigang,global or worldwide,Isang pandaigdigang isyu ang pagbabago ng klima.,기후 변화는 세계적인 문제입니다.
714,pamilyang,family-related or familial,Ang pamilyang Pilipino ay matatag.,필리핀 가족은 굳건합니다.
715,paglalakbay,a journey or travel,Ang kanilang paglalakbay ay puno ng pakikipagsapalaran.,그들의 여행은 모험으로 가득했습니다.
716,pagbibigay,the act of giving or providing,Ang pagbibigay ay isang magandang ugali.,나눔은 좋은 덕목입니다.
717,pagbagsak,a downfall or collapse,Nangyari ang pagbagsak ng negosyo.,사업이 붕괴되었다.
718,ospital,a hospital or medical facility,Dinala siya sa ospital matapos maaksidente.,그는 사고 후 병원에 실려갔습니다.
719,nanatili,remained or stayed,Nanatili siya sa bahay buong araw.,그는 하루 종일 집에 있었다.
720,nakatira,lives or resides,Saan ka nakatira?,어디에 사십니까?
721,nagawa,was able to do or accomplish,Marami siyang nagawa ngayong araw.,그는 오늘 많은 일을 해냈다.
722,nabigo,failed or was unsuccessful,Nabigo siya sa pagsusulit.,그는 시험에 실패했다.
723,nabanggit,was mentioned or cited,Nabanggit niya ang pangalan mo.,그는 네 이름을 언급했다.
724,music,sounds arranged in a rhythmic and melodic way,Mahilig ako sa music ng BTS.,나는 방탄소년단 음악을 좋아한다.
725,metro,a unit of length equal to 1 000 millimeters,Ang pader ay sampung metro ang taas.,벽은 10미터 높이입니다.
726,maiwasan,to avoid or prevent,Maiwasan ang sakit sa tamang pagkain.,올바른 식습관으로 질병을 예방할 수 있다.
727,kumpara,compared with or versus,Kumpara sa kahapon,mas mainit ngayon.
728,kolehiyo,college or tertiary school,Nag-aaral siya sa kolehiyo ng engineering.,그는 공과대학에서 공부하고 있다.
729,kinakatawan,represents or symbolizes,Ang leon ay kinakatawan ng tapang.,사자는 용맹을 상징합니다.
730,kaugnay,related or connected,Kaugnay ito ng ating paksa.,이것은 우리 주제와 관련이 있다.
731,kaugalian,a custom or habitual practice,Isang kaugalian ang pagsisimba tuwing Linggo.,매주 일요일 예배 드리는 것이 관습이다.
732,ipinalabas,was released or shown,Ipinalabas ang pelikula noong Biyernes.,금요일에 영화가 개봉되었다.
733,inaasahan,expected or anticipated,Inaasahan ko ang iyong pagdating.,나는 네 도착을 기대한다.
734,ika-20,twentieth (20th),Sa ika-20 siglo maraming pagbabago ang naganap.,20세기에 많은 변화가 있었다.
735,ika-19,nineteenth (19th),Ipinanganak siya noong ika-19 siglo.,그는 19세기에 태어났다.
736,iba't-ibang,various or different,Iba't-ibang prutas ang ibinebenta sa palengke.,시장에서 다양한 과일이 팔리고 있다.
737,gumanap,performed or carried out,Gumanap siya ng mahusay sa entablado.,그는 무대에서 훌륭히 연기했다.
738,ginawang,was made into or used as,Ginawang silid-aklatan ang lumang gusali.,오래된 건물이 도서관으로 바뀌었다.
739,dantaon,a century (100 years),Ang Unang Digmaang Pandaigdig ay naganap noong ika-20 dantaon.,제1차 세계대전은 20세기에 일어났다.
740,damit,clothing or garments,Bumili ako ng bagong damit.,나는 새 옷을 샀다.
741,barko,a ship or large boat,Nakasakay kami sa malaking barko.,우리는 큰 배를 탔다.
742,South,the southern direction or region,Nasa South America ang Brazil.,브라질은 남아메리카에 있다.
743,Samantala,meanwhile or in the meantime,Samantala,naghanda kami ng pagkain.
744,Pilipinong,Filipino (adjective form),Ang Pilipinong kultura ay makulay.,필리핀 문화는 다채롭다.
745,Pangulong,presidential or pertaining to a president,Sa ilalim ng Pangulong Marcos,may mga reporma.
746,Olimpiko,Olympic or related to the Olympics,Sinalihan niya ang laro ng Olimpiko.,그는 올림픽 경기에 참가했다.
747,News,current events or information,Binalita sa News ang bagyo.,뉴스에서 태풍을 보도했다.
748,Marcos,a Filipino surname,Si Marcos ay naging pangulo.,마르코스는 대통령이 되었다.
749,Los,a Spanish article (the),Los Angeles ay isang sikat na lungsod.,로스앤젤레스는 유명한 도시이다.
750,Kasunod,following or next,Kasunod na araw ay Linggo.,다음 날은 일요일이다.
751,Kanyang,his or her (possessive),Kanyang libro ay nasa mesa.,그의 책이 책상 위에 있다.
752,Griyego,Greek (language or culture),Ang Griyego ay sinaunang wika.,그리스어는 고대 언어이다.
753,Ginagamit,is being used or utilized,Ginagamit niya ang cellphone araw-araw.,그는 매일 휴대전화를 사용한다.
754,Abenida,avenue or boulevard,Dumaan kami sa Abenida Rizal.,우리는 리잘 대로를 지나갔다.
755,yunit,a unit or single item,Isang yunit ng gulay ang binili ko.,나는 야채 한 단위를 샀다.
756,teritoryo,a territory or region,Saklaw ng teritoryo ang buong isla.,그 섬 전체가 영토에 속한다.
757,tawag,a call or summons,Tumanggap siya ng tawag mula sa nanay.,그는 엄마에게서 전화를 받았다.
758,tagasunod,a follower or supporter,Maraming tagasunod ang artistang ito.,이 배우에게는 많은 팔로워가 있다.
759,sumali,joined or became a member,Sumali siya sa paligsahan.,그는 대회에 참가했다.
760,species,a distinct group of organisms,Isang bago species ng hayop ang natagpuan.,새로운 동물 종이 발견되었다.
761,sibil,civil or non-military,Ang karapatang sibil ay mahalaga.,시민권은 중요하다.
762,samahan,an organization or association,Sumali siya sa isang samahan ng kabataan.,그는 청소년 단체에 가입했다.
763,salaysay,a narrative or account,Ang kanyang salaysay ay kapani-paniwala.,그의 이야기는 믿을 만하다.
764,pinamagatang,titled or named,Ang pelikula ay pinamagatang “Tadhana.”,영화 제목은 “운명”이다.
765,parokya,a parish or local church,Sa parokya namin may bazaar tuwing Pasko.,우리 교구에는 매년 크리스마스 바자가 열린다.
766,papunta,going toward or heading to,Papunta na kami sa palengke.,우리는 시장으로 가고 있다.
767,pagpatay,killing or act of killing,Itinanggi niya ang pagpatay.,그는 살인을 부인했다.
768,paglalarawan,a description or depiction,Ang paglalarawan ng guro ay malinaw.,선생님의 설명은 명확했다.
769,pagkaraan,afterwards or later on,Pagkaraan ng ulan,may bahaghari.
770,paa,the foot or feet,Sumakit ang paa ko sa mahabang lakaran.,오랜 걷기 때문에 발이 아프다.
771,nangyayari,is happening or occurring,Ano ang nangyayari sa labas?,밖에서 무슨 일이 일어나고 있나요?
772,nangyari,happened or took place,Nangyari ito noong isang linggo.,이 일은 일주일 전에 있었다.
773,nangungunang,leading or top,Nangungunang estudyante siya sa klase.,그는 반에서 최고 학생이다.
774,nagsisimula,is starting or beginning,Nagsisimula na ang palabas.,공연이 시작되고 있다.
775,nagpapahiwatig,indicating or suggesting,Nagpapahiwatig ito ng problema.,이것은 문제를 시사한다.
776,nagaganap,is taking place or happening,Nagaganap ang kasal sa simbahan.,결혼식이 교회에서 열리고 있다.
777,materyal,material or substance,Ang materyal ng damit ay sutla.,옷감은 실크 재질이다.
778,malubhang,serious or severe,Malubhang karamdaman ang dinala niya.,그는 중병을 앓았다.
779,mababa,low or short,Mababa ang mesa para sa akin.,책상이 나에게는 낮다.
780,laki,size or magnitude,Ang laki ng bahay ay kahanga-hanga.,집의 크기가 인상적이다.
781,kumpanya,a company or business,Nagtatrabaho siya sa isang kumpanya ng teknolohiya.,그는 기술 회사에서 일한다.
782,kontrol,control or power over something,Kailangan niya ng kontrol sa emosyon.,그는 감정을 통제해야 한다.
783,kondisyon,condition or state,Maganda ang kondisyon ng sasakyan.,차량 상태가 좋다.
784,ko,I or me (Tagalog first-person pronoun),Ako ang may-ari ng librong ito.,이 책은 내 것이다.
785,kinuha,was taken or obtained,Kinuha niya ang larawan sa dagat.,그는 바다에서 사진을 찍었다.
786,kinakailangan,necessary or required,Kinakailangan ang tulong mo.,네 도움이 필요하다.
787,kaunti,a little or few,Kaunti lang ang kinain ko.,나는 조금만 먹었다.
788,katapusan,end or conclusion,Sa katapusan ng kwento,sila’y nagkasama.
789,kaniya,his or her (possessive),Nawala ang kaniya cellphone.,그녀의 휴대폰이 분실되었다.
790,kalikasan,nature or the natural world,Ang kalikasan ay dapat pangalagaan.,자연은 보호받아야 한다.
791,kalapit,near or adjacent,Kalapit ng eskwelahan ang aming bahay.,우리 집은 학교 바로 옆이다.
792,kakulangan,lack or shortage,May kakulangan sa tubig sa probinsya.,지방에 물 부족 현상이 있다.
793,kagamitan,equipment or tools,Kailangan ang kagamitan sa pag-aaral.,학습 도구가 필요하다.
794,kabuuan,total or entirety,Ang kabuuan ng halaga ay isang libo.,총 금액은 천 원이다.
795,ibig,want or desire,Ibig kong matutong bumasa.,나는 읽기를 배우고 싶다.
796,ibaba,lower or bring down,Ibaba mo ang boses.,목소리를 낮추세요.
797,hukbo,army or military force,Ang hukbo ay nagtatanggol sa bansa.,군대는 나라를 지킨다.
798,hakbang,a step or measure,Isang hakbang patungo sa tagumpay.,성공을 향한 한 걸음이다.
799,guro,a teacher or instructor,Ang guro ay mahusay magturo.,선생님은 가르치기를 잘한다.
800,estudyante,a student,Nag-aaral mabuti ang estudyante.,학생은 열심히 공부한다.
801,espesye,species (plural of species),Iba’t ibang espesye ng hayop ang nasa gubat.,숲에는 다양한 동물 종이 있다.
802,ebolusyon,evolution or gradual change,Ang ebolusyon ng tao ay matagal na proseso.,인간의 진화는 오랜 과정이다.
803,diin,emphasis or stress,May diin sa salitang “mahalaga.”,“중요하다”라는 단어에 강조가 있다.
804,binuksan,was opened or unlocked,Binuksan niya ang pinto ng bahay.,그는 집 문을 열었다.
805,bababa,will go down or decrease,Bababa ang presyo bukas.,가격은 내일 내려갈 것이다.
806,artist,a performer or creator of art,Sikat na artist siya sa telebisyon.,그는 TV에서 유명한 예술가다.
